"id","coordinate","commentary","id","object_name","tag"
549,POINT (54.84258242562687 83.09101223942889),"",3,Отдых (скамья),brench
558,POINT (54.863950590539304 83.1053924560547),"",1,Детская площадка,baby
559,POINT (54.863950590539304 83.10541391372682),Сделать весь тротуар с поребриками,1,Детская площадка,baby
560,POINT (54.86160415197111 83.10307502746583),"",1,Детская площадка,baby
561,POINT (54.86160415197111 83.10309648513795),сделать велодорожку и сквер вдоль старой железной дороги,1,Детская площадка,baby
562,POINT (54.86408643280148 83.10468435287477),"",13,Прогулка,walk
563,POINT (54.86408643280148 83.10470581054689),тротуар,13,Прогулка,walk
564,POINT (54.86134480038134 83.11313867568971),"",13,Прогулка,walk
565,POINT (54.86133245026402 83.11316013336183),сделать тротуар и облагородить газоны вокруг ,13,Прогулка,walk
566,POINT (54.85022816459618 83.10996294021608),"",13,Прогулка,walk
567,POINT (54.85022816459618 83.10996294021608),сделать тротуары по обеим сторона. дороги,13,Прогулка,walk
568,POINT (54.847880927564894 83.10968399047853),"",13,Прогулка,walk
569,POINT (54.847880927564894 83.10968399047853),сделать тротуары  по всей улице,13,Прогулка,walk
570,POINT (54.86518550336475 83.0977749824524),"",11,Спортивная площадка,sport
571,POINT (54.86518550336475 83.0977749824524),сделать уже наконец сквер!,11,Спортивная площадка,sport
572,POINT (54.86135715049486 83.09230327606203),"",13,Прогулка,walk
573,POINT (54.86135715049486 83.09230327606203),сделать тротуары,13,Прогулка,walk
574,POINT (54.85959104585834 83.10238838195802),"",13,Прогулка,walk
575,POINT (54.85959104585834 83.10240983963014),сделать тротуары,13,Прогулка,walk
576,POINT (54.844286874903645 83.08899033974515),"",14,Зона работы,work
577,POINT (54.8433607906147 83.08770823261344),"",14,Зона работы,work
578,POINT (54.84450528791208 83.08785237483536),"",14,Зона работы,work
579,POINT (54.843806362123615 83.08657026770366),"",14,Зона работы,work
580,POINT (54.83976028721525 83.0950552225113),"",9,Парковка,parking
581,POINT (54.83886750396222 83.09618711471559),"",7,Клумба,flower
588,POINT (54.87048902389044 83.08751821517944),"",4,Велопарковка,bike
589,POINT (54.829258794194494 83.1030857563019),"",3,Отдых (скамья),brench
590,POINT (54.82871495316909 83.10291409492494),"",3,Отдых (скамья),brench
591,POINT (54.829302053961534 83.10360074043275),"",3,Отдых (скамья),brench
592,POINT (54.828887994289964 83.10347199440004),"",3,Отдых (скамья),brench
593,POINT (54.837804788116735 83.09470653533937),"",6,Выгул собак,dog
594,POINT (54.83609326249944 83.09524297714235),"",6,Выгул собак,dog
595,POINT (54.839392672973425 83.0915951728821),"",6,Выгул собак,dog
596,POINT (54.8396645224832 83.09717416763307),"",6,Выгул собак,dog
597,POINT (54.83819404193562 83.09904098510742),"",6,Выгул собак,dog
598,POINT (54.84028235546807 83.09942722320558),"",6,Выгул собак,dog
599,POINT (54.84028235546807 83.10112237930298),"",6,Выгул собак,dog
600,POINT (54.841394431006066 83.09807538986207),"",6,Выгул собак,dog
601,POINT (54.834845100584786 83.10843944549562),"",6,Выгул собак,dog
602,POINT (54.84176511604219 83.09705615043642),"",1,Детская площадка,baby
603,POINT (54.84093724810552 83.09824705123903),"",11,Спортивная площадка,sport
604,POINT (54.83919496308892 83.09153079986574),"",11,Спортивная площадка,sport
606,POINT (54.83596968383337 83.09620857238771),"",12,Беседка,umbrella
607,POINT (54.8382928994506 83.09316158294679),"",12,Беседка,umbrella
608,POINT (54.83947917074332 83.09230327606203),"",12,Беседка,umbrella
609,POINT (54.83860182762416 83.10221672058107),"",12,Беседка,umbrella
610,POINT (54.834894533473836 83.10760259628297),"",12,Беседка,umbrella
611,POINT (54.83739081565049 83.11182975769044),"",12,Беседка,umbrella
612,POINT (54.83840411386549 83.11296701431276),"",12,Беседка,umbrella
613,POINT (54.82621813444707 83.10217380523682),"",14,Зона работы,work
605,POINT (54.829042494664066 83.08269023895265),"Не хватает велопарковки, приходится пристегивать велосипед к трубам",4,Велопарковка,bike
614,POINT (54.83059982541908 83.10310184955598),"",2,Барбекю,bbk
616,POINT (54.846095700608466 83.11620980501176),Пешеходный переход,13,Прогулка,walk
615,POINT (54.85027757864488 83.10672283172607),"Тротуар в ужасном состоянии на проспекте Лаврентьева вдоль институтов, весь в ямах. Было бы совсем круто, если были выделили и велодорожку, от Строителей и до Морского",13,Прогулка,walk
617,POINT (54.82472862203125 83.11221599578859),"",12,Беседка,umbrella
618,POINT (54.860381479872856 83.09020042419435),"Хотелось бы увидеть дорожки, а не тропинки, которые размывает после любого дождя",13,Прогулка,walk
